FRANCESCO;10.156;3,47;3,47
ALESSANDRO;9.247;3,16;6,63
ANDREA;8.596;2,94;9,57
MATTEO;8.460;2,89;12,46
LORENZO;7.703;2,63;15,09
GABRIELE;7.090;2,42;17,51
MATTIA;6.521;2,23;19,74
RICCARDO;5.926;2,02;21,76
DAVIDE;5.583;1,91;23,67
LUCA;5.334;1,82;25,49
MARCO;4.785;1,63;27,13
SIMONE;4.514;1,54;28,67
LEONARDO;4.478;1,53;30,2
GIUSEPPE;4.437;1,52;31,71
FEDERICO;4.382;1,5;33,21
TOMMASO;4.337;1,48;34,69
ANTONIO;4.103;1,4;36,09
GIOVANNI;3.799;1,3;37,39
CHRISTIAN;3.749;1,28;38,67
ALESSIO;3.586;1,23;39,9
FILIPPO;3.498;1,2;41,09
CRISTIAN;3.242;1,11;42,2
SAMUELE;3.228;1,1;43,3
DANIELE;3.085;1,05;44,36
PIETRO;3.047;1,04;45,4
EMANUELE;2.987;1,02;46,42
MICHELE;2.846;0,97;47,39
EDOARDO;2.799;0,96;48,35
NICOLO';2.584;0,88;49,23
GIACOMO;2.328;0,8;50,03
